52
4
    32711635/100000000 -160054332/100000000
7
    32711635/100000000 -160054332/100000000
    31311092/100000000 -161015439/100000000
    30045735/100000000 -162010770/100000000
    28915563/100000000 -163040327/100000000
    27920577/100000000 -164104108/100000000
    27060777/100000000 -165202115/100000000
    26336161/100000000 -166334347/100000000
4
    26336161/100000000 -166334347/100000000
    26480152/100000000 -176487786/100000000
    26624143/100000000 -186641225/100000000
    26768134/100000000 -196794664/100000000
7
    26768134/100000000 -196794664/100000000
    26806203/100000000 -199482639/100000000
    27006236/100000000 -201741176/100000000
    27368233/100000000 -203570274/100000000
    27892193/100000000 -204969933/100000000
    28578118/100000000 -205940153/100000000
    29426005/100000000 -206480935/100000000
7
    29426005/100000000 -206480935/100000000
    29833375/100000000 -206761682/100000000
    30411202/100000000 -206980863/100000000
    31159488/100000000 -207138477/100000000
    32078232/100000000 -207234524/100000000
    33167433/100000000 -207269004/100000000
    34427093/100000000 -207241917/100000000
4
    34427093/100000000 -207241917/100000000
    34437711/100000000 -207996526/100000000
    34448329/100000000 -208751134/100000000
    34458947/100000000 -209505743/100000000
4
    34458947/100000000 -209505743/100000000
    26834690/100000000 -209669220/100000000
    19210434/100000000 -209832698/100000000
    11586177/100000000 -209996175/100000000
4
    11586177/100000000 -209996175/100000000
    11575559/100000000 -209241566/100000000
    11564941/100000000 -208486957/100000000
    11554323/100000000 -207732349/100000000
7
    11554323/100000000 -207732349/100000000
    13252429/100000000 -207696020/100000000
    14691611/100000000 -207429358/100000000
    15871869/100000000 -206932361/100000000
    16793202/100000000 -206205031/100000000
    17455611/100000000 -205247366/100000000
    17859096/100000000 -204059367/100000000
7
    17859096/100000000 -204059367/100000000
    18069126/100000000 -203454852/100000000
    18232177/100000000 -202619556/100000000
    18348250/100000000 -201553480/100000000
    18417345/100000000 -200256623/100000000
    18439462/100000000 -198728987/100000000
    18414600/100000000 -196970570/100000000
4
    18414600/100000000 -196970570/100000000
    18312045/100000000 -189731042/100000000
    18209491/100000000 -182491514/100000000
    18106936/100000000 -175251987/100000000
7
    18106936/100000000 -175251987/100000000
    18062393/100000000 -172107996/100000000
    17994023/100000000 -169415560/100000000
    17901827/100000000 -167174678/100000000
    17785806/100000000 -165385350/100000000
    17645959/100000000 -164047576/100000000
    17482286/100000000 -163161357/100000000
7
    17482286/100000000 -163161357/100000000
    17263710/100000000 -161966029/100000000
    16917563/100000000 -161013399/100000000
    16443844/100000000 -160303468/100000000
    15842553/100000000 -159836235/100000000
    15113691/100000000 -159611701/100000000
    14257257/100000000 -159629865/100000000
7
    14257257/100000000 -159629865/100000000
    13787215/100000000 -159640062/100000000
    13281072/100000000 -159712209/100000000
    12738828/100000000 -159846305/100000000
    12160482/100000000 -160042350/100000000
    11546036/100000000 -160300345/100000000
    10895488/100000000 -160620289/100000000
4
    10895488/100000000 -160620289/100000000
    10633145/100000000 -159871097/100000000
    10370802/100000000 -159121906/100000000
    10108459/100000000 -158372715/100000000
4
    10108459/100000000 -158372715/100000000
    14722119/100000000 -155968355/100000000
    19335778/100000000 -153563996/100000000
    23949438/100000000 -151159636/100000000
4
    23949438/100000000 -151159636/100000000
    24673276/100000000 -151144022/100000000
    25397114/100000000 -151128407/100000000
    26120952/100000000 -151112792/100000000
4
    26120952/100000000 -151112792/100000000
    26178186/100000000 -155151925/100000000
    26235420/100000000 -159191057/100000000
    26292653/100000000 -163230190/100000000
7
    26292653/100000000 -163230190/100000000
    27952431/100000000 -161143544/100000000
    29344065/100000000 -159406541/100000000
    30467555/100000000 -158019183/100000000
    31322902/100000000 -156981468/100000000
    31910104/100000000 -156293398/100000000
    32229163/100000000 -155954971/100000000
7
    32229163/100000000 -155954971/100000000
    33826268/100000000 -154263156/100000000
    35462169/100000000 -152901992/100000000
    37136864/100000000 -151871480/100000000
    38850353/100000000 -151171618/100000000
    40602637/100000000 -150802408/100000000
    42393716/100000000 -150763849/100000000
7
    42393716/100000000 -150763849/100000000
    45600617/100000000 -150695017/100000000
    48324269/100000000 -151444654/100000000
    50564672/100000000 -153012762/100000000
    52321824/100000000 -155399339/100000000
    53595728/100000000 -158604387/100000000
    54386382/100000000 -162627905/100000000
7
    54386382/100000000 -162627905/100000000
    55703535/100000000 -160651837/100000000
    56947500/100000000 -158896989/100000000
    58118280/100000000 -157363362/100000000
    59215872/100000000 -156050954/100000000
    60240278/100000000 -154959767/100000000
    61191497/100000000 -154089800/100000000
7
    61191497/100000000 -154089800/100000000
    62585307/100000000 -152816716/100000000
    64019154/100000000 -151791430/100000000
    65493039/100000000 -151013941/100000000
    67006961/100000000 -150484249/100000000
    68560922/100000000 -150202354/100000000
    70154920/100000000 -150168256/100000000
7
    70154920/100000000 -150168256/100000000
    72761514/100000000 -150112171/100000000
    75062051/100000000 -150724908/100000000
    77056529/100000000 -152006468/100000000
    78744950/100000000 -153956851/100000000
    80127313/100000000 -156576057/100000000
    81203617/100000000 -159864087/100000000
7
    81203617/100000000 -159864087/100000000
    81585607/100000000 -161035196/100000000
    81898554/100000000 -162489284/100000000
    82142458/100000000 -164226350/100000000
    82317318/100000000 -166246394/100000000
    82423136/100000000 -168549417/100000000
    82459910/100000000 -171135417/100000000
4
    82459910/100000000 -171135417/100000000
    82575414/100000000 -179286021/100000000
    82690917/100000000 -187436624/100000000
    82806421/100000000 -195587227/100000000
7
    82806421/100000000 -195587227/100000000
    82832059/100000000 -197387071/100000000
    82898409/100000000 -198954286/100000000
    83005470/100000000 -200288873/100000000
    83153241/100000000 -201390831/100000000
    83341724/100000000 -202260161/100000000
    83570918/100000000 -202896862/100000000
7
    83570918/100000000 -202896862/100000000
    83975957/100000000 -203984798/100000000
    84645462/100000000 -204847755/100000000
    85579433/100000000 -205485731/100000000
    86777871/100000000 -205898726/100000000
    88240775/100000000 -206086741/100000000
    89968146/100000000 -206049775/100000000
4
    89968146/100000000 -206049775/100000000
    89978764/100000000 -206804384/100000000
    89989382/100000000 -207558993/100000000
    90000000/100000000 -208313601/100000000
