43
7
    89838934/100000000 -194024115/100000000
    89892623/100000000 -195648984/100000000
    89367231/100000000 -197238939/100000000
    88262757/100000000 -198793981/100000000
    86579203/100000000 -200314109/100000000
    84316567/100000000 -201799324/100000000
    81474851/100000000 -203249626/100000000
7
    81474851/100000000 -203249626/100000000
    77292180/100000000 -205388240/100000000
    72577825/100000000 -207111698/100000000
    67331786/100000000 -208420000/100000000
    61554062/100000000 -209313147/100000000
    55244655/100000000 -209791138/100000000
    48403564/100000000 -209853973/100000000
7
    48403564/100000000 -209853973/100000000
    43116084/100000000 -209902648/100000000
    38158285/100000000 -209697770/100000000
    33530167/100000000 -209239337/100000000
    29231730/100000000 -208527351/100000000
    25262974/100000000 -207561811/100000000
    21623899/100000000 -206342717/100000000
7
    21623899/100000000 -206342717/100000000
    19556472/100000000 -205656175/100000000
    17897245/100000000 -204948613/100000000
    16646219/100000000 -204220033/100000000
    15803393/100000000 -203470434/100000000
    15368768/100000000 -202699816/100000000
    15342343/100000000 -201908180/100000000
7
    15342343/100000000 -201908180/100000000
    15318854/100000000 -201188671/100000000
    15730075/100000000 -200318225/100000000
    16576004/100000000 -199296841/100000000
    17856643/100000000 -198124519/100000000
    19571991/100000000 -196801260/100000000
    21722049/100000000 -195327064/100000000
7
    21722049/100000000 -195327064/100000000
    21934286/100000000 -195181038/100000000
    22604973/100000000 -194777431/100000000
    23734110/100000000 -194116244/100000000
    25321696/100000000 -193197477/100000000
    27367732/100000000 -192021128/100000000
    29872217/100000000 -190587200/100000000
7
    29872217/100000000 -190587200/100000000
    27267905/100000000 -189790474/100000000
    25179337/100000000 -188997643/100000000
    23606516/100000000 -188208705/100000000
    22549439/100000000 -187423662/100000000
    22008108/100000000 -186642512/100000000
    21982522/100000000 -185865257/100000000
7
    21982522/100000000 -185865257/100000000
    21943933/100000000 -184699263/100000000
    22770065/100000000 -183372774/100000000
    24460918/100000000 -181885789/100000000
    27016491/100000000 -180238309/100000000
    30436785/100000000 -178430333/100000000
    34721800/100000000 -176461861/100000000
7
    34721800/100000000 -176461861/100000000
    29956944/100000000 -175285468/100000000
    26126772/100000000 -173793262/100000000
    23231283/100000000 -171985242/100000000
    21270478/100000000 -169861407/100000000
    20244356/100000000 -167421759/100000000
    20152918/100000000 -164666297/100000000
7
    20152918/100000000 -164666297/100000000
    20083291/100000000 -162556667/100000000
    20623615/100000000 -160590762/100000000
    21773892/100000000 -158768581/100000000
    23534120/100000000 -157090126/100000000
    25904300/100000000 -155555395/100000000
    28884432/100000000 -154164389/100000000
7
    28884432/100000000 -154164389/100000000
    31703499/100000000 -152846395/100000000
    34770875/100000000 -151784522/100000000
    38086560/100000000 -150978770/100000000
    41650555/100000000 -150429138/100000000
    45462859/100000000 -150135626/100000000
    49523472/100000000 -150098235/100000000
7
    49523472/100000000 -150098235/100000000
    53093759/100000000 -150065489/100000000
    56479323/100000000 -150218551/100000000
    59680165/100000000 -150557419/100000000
    62696286/100000000 -151082094/100000000
    65527684/100000000 -151792576/100000000
    68174360/100000000 -152688865/100000000
4
    68174360/100000000 -152688865/100000000
    73461840/100000000 -152640189/100000000
    78749320/100000000 -152591514/100000000
    84036800/100000000 -152542839/100000000
7
    84036800/100000000 -152542839/100000000
    85508201/100000000 -152529342/100000000
    86719002/100000000 -152546888/100000000
    87669205/100000000 -152595474/100000000
    88358809/100000000 -152675103/100000000
    88787814/100000000 -152785773/100000000
    88956220/100000000 -152927484/100000000
7
    88956220/100000000 -152927484/100000000
    89124626/100000000 -153069195/100000000
    89261531/100000000 -153248453/100000000
    89366937/100000000 -153465257/100000000
    89440842/100000000 -153719607/100000000
    89483248/100000000 -154011504/100000000
    89494154/100000000 -154340947/100000000
7
    65054973/100000000 -165592897/100000000
    64979474/100000000 -163312903/100000000
    64533104/100000000 -161234293/100000000
    63715864/100000000 -159357065/100000000
    62527754/100000000 -157681220/100000000
    60968774/100000000 -156206758/100000000
    59038923/100000000 -154933679/100000000
7
    59038923/100000000 -154933679/100000000
    57612822/100000000 -153999999/100000000
    56034380/100000000 -153257082/100000000
    54303596/100000000 -152704927/100000000
    52420471/100000000 -152343536/100000000
    50385005/100000000 -152172907/100000000
    48197198/100000000 -152193041/100000000
7
    48197198/100000000 -152193041/100000000
    45681388/100000000 -152216051/100000000
    43430078/100000000 -152460445/100000000
    41443267/100000000 -152926223/100000000
    39720956/100000000 -153613385/100000000
    38263145/100000000 -154521931/100000000
    37069834/100000000 -155651860/100000000
7
    37069834/100000000 -155651860/100000000
    36088341/100000000 -156578903/100000000
    35312458/100000000 -157601614/100000000
    34742185/100000000 -158719995/100000000
    34377523/100000000 -159934044/100000000
    34218470/100000000 -161243762/100000000
    34265028/100000000 -162649150/100000000
7
    34265028/100000000 -162649150/100000000
    34339689/100000000 -164914983/100000000
    34779599/100000000 -166973681/100000000
    35584759/100000000 -168825244/100000000
    36755169/100000000 -170469671/100000000
    38290828/100000000 -171906963/100000000
    40191737/100000000 -173137119/100000000
7
    40191737/100000000 -173137119/100000000
    41645102/100000000 -174070578/100000000
    43245355/100000000 -174813318/100000000
    44992497/100000000 -175365340/100000000
    46886527/100000000 -175726643/100000000
    48927446/100000000 -175897228/100000000
    51115253/100000000 -175877094/100000000
7
    51115253/100000000 -175877094/100000000
    55873398/100000000 -175833286/100000000
    59657599/100000000 -175121388/100000000
    62467858/100000000 -173741401/100000000
    64304173/100000000 -171693323/100000000
    65166545/100000000 -168977155/100000000
    65054973/100000000 -165592897/100000000
7
    83934875/100000000 -195755848/100000000
    83902159/100000000 -194763758/100000000
    83310914/100000000 -193914862/100000000
    82161141/100000000 -193209159/100000000
    80452840/100000000 -192646650/100000000
    78186010/100000000 -192227335/100000000
    75360652/100000000 -191951213/100000000
7
    75360652/100000000 -191951213/100000000
    74373286/100000000 -191859615/100000000
    72938041/100000000 -191783637/100000000
    71054916/100000000 -191723280/100000000
    68723912/100000000 -191678543/100000000
    65945028/100000000 -191649427/100000000
    62718264/100000000 -191635930/100000000
7
    62718264/100000000 -191635930/100000000
    56592321/100000000 -191605840/100000000
    51023060/100000000 -191539022/100000000
    46010482/100000000 -191435477/100000000
    41554587/100000000 -191295203/100000000
    37655374/100000000 -191118202/100000000
    34312845/100000000 -190904474/100000000
7
    34312845/100000000 -190904474/100000000
    31838559/100000000 -192408761/100000000
    29866093/100000000 -193822157/100000000
    28395447/100000000 -195144664/100000000
    27426621/100000000 -196376281/100000000
    26959615/100000000 -197517008/100000000
    26994429/100000000 -198566845/100000000
7
    26994429/100000000 -198566845/100000000
    27017079/100000000 -199257148/100000000
    27354477/100000000 -199909972/100000000
    28006625/100000000 -200525316/100000000
    28973522/100000000 -201103179/100000000
    30255167/100000000 -201643563/100000000
    31851562/100000000 -202146467/100000000
7
    31851562/100000000 -202146467/100000000
    34603937/100000000 -203013108/100000000
    37835063/100000000 -203696951/100000000
    41544939/100000000 -204197997/100000000
    45733567/100000000 -204516244/100000000
    50400944/100000000 -204651694/100000000
    55547072/100000000 -204604347/100000000
7
    55547072/100000000 -204604347/100000000
    58869049/100000000 -204573814/100000000
    62051184/100000000 -204432346/100000000
    65093478/100000000 -204179943/100000000
    67995929/100000000 -203816604/100000000
    70758539/100000000 -203342330/100000000
    73381307/100000000 -202757121/100000000
7
    73381307/100000000 -202757121/100000000
    76949916/100000000 -201947784/100000000
    79794652/100000000 -200995430/100000000
    81915516/100000000 -199900060/100000000
    83312508/100000000 -198661673/100000000
    83985628/100000000 -197280269/100000000
    83934875/100000000 -195755848/100000000
