24559
-24219506809241608/2199023255552 6886285062963193/2199023255552 -6095978364927985/549755813888 1722037043200001/549755813888 
-36353844707328016/4398046511104 3881881619660801/4398046511104 -36329215754240008/4398046511104 3776556354764799/4398046511104 
5801346125004796/1099511627776 4593189021286397/1099511627776 5805906172313599/1099511627776 4612962648064005/1099511627776 
1555318806937601/1099511627776 4509647713075203/1099511627776 3090983315046397/2199023255552 9039729236377594/2199023255552 
27041761696153588/2199023255552 -7479837379788805/2199023255552 13475031233331252/1099511627776 -3747006224793599/1099511627776 
2928163998924799/549755813888 2499765547827200/549755813888 2916299990630401/549755813888 2502731759616000/549755813888 
12157953507327994/1099511627776 4712642799206397/1099511627776 12212932444159980/1099511627776 4764417287782403/1099511627776 
53847733043200176/4398046511104 -7982608600268795/4398046511104 53834438777241696/4398046511104 -7901556192051199/4398046511104 
14909232381952002/8796093022208 6642213899468801/8796093022208 7356736235110413/4398046511104 3451912821145599/4398046511104 
5319649184972803/2199023255552 8307997671424008/2199023255552 5304449866137594/2199023255552 8290672679321597/2199023255552 
2629231339110400/1099511627776 4469185681817601/1099511627776 5275201306624004/2199023255552 8904760727961601/2199023255552 
409018110784308096/35184372088832 -6746555180646407/35184372088832 204859538145279520/17592186044416 -3674394014515193/17592186044416 
6043305037004805/1099511627776 2905745024614396/1099511627776 2946078386345269/549755813888 1459465964806993/549755813888 
2936864143047607/1099511627776 4283506327723241/1099511627776 5886475642037014/2199023255552 8592017084409211/2199023255552 
8832523069030397/1099511627776 685395096371200/1099511627776 35281320909209596/4398046511104 2864435324518401/4398046511104 
19433832788787236/1099511627776 7656989681254401/1099511627776 19492452381491152/1099511627776 7647166621286405/1099511627776 
-6818720278118397/1099511627776 7273381992857601/1099511627776 -6804912629350405/1099511627776 7265360805888002/1099511627776 
-8585527217356799/1099511627776 -8829619771801603/1099511627776 -8404634435583997/1099511627776 -8817826227814397/1099511627776 
5597285685657601/4398046511104 19747107032268792/4398046511104 5576594764595217/4398046511104 19705033129984012/4398046511104 
-1078449930240001/549755813888 4110083214540802/549755813888 -8446702465843201/4398046511104 32852543746867220/4398046511104 
16317679665152006/2199023255552 7517253088051211/2199023255552 8148854033612803/1099511627776 3751264282214396/1099511627776 
-79672307718553600/17592186044416 -2591457437286401/17592186044416 -79459773946265680/17592186044416 -3060513583923197/17592186044416 
21757584578969600/2199023255552 2518333102489609/2199023255552 21785946462617604/2199023255552 2564498548326393/2199023255552 
-7094062075084799/1099511627776 5023134121984002/1099511627776 -7110289837260796/1099511627776 5022471421952001/1099511627776 
23015013873396988/4398046511104 7894440053657975/4398046511104 2900413477001576/549755813888 954441985320187/549755813888 
19479106106163196/2199023255552 4748638735564797/2199023255552 19462067165593612/2199023255552 4743016690483201/2199023255552 
35471044851802540847196673669/7753910754985018239483904 26791323343475030572174507937/7753910754985018239483904 124148656981281228919105075381/27138687642441516524240896 93762322405793391359585837321/27138687642441516524240896 
3630869173468894/1099511627776 3807928129946251/1099511627776 7278367888059574/2199023255552 7627594759507869/2199023255552 
5688565904179201/1099511627776 7880740700160003/1099511627776 5682913660108797/1099511627776 7901271818239999/1099511627776 
10334881657651196/1099511627776 4930119139327995/1099511627776 5208128513638399/549755813888 2445125510758400/549755813888 
2454828403916796/1099511627776 6205418242047995/1099511627776 4835072016384003/2199023255552 12393885623910408/2199023255552 
7284620210995227/549755813888 -631436686131198/549755813888 29101456883712028/2199023255552 -2534211688857609/2199023255552 
15444475904000004/2199023255552 7480146919424001/2199023255552 15543117545471994/2199023255552 7468141143654407/2199023255552 
-10170248514764802/1099511627776 8625794213478403/1099511627776 -2581095199539201/274877906944 2172646535987201/274877906944 
-8990436098048017/549755813888 3696299606016001/549755813888 -17990463730483200/1099511627776 7417875765657599/1099511627776 
5573501884825599/8796093022208 45612498996428840/8796093022208 5642730550067201/8796093022208 45649009573887984/8796093022208 
-7812849179033601/8796093022208 47740937148825632/8796093022208 -7376774103039999/8796093022208 47692259734323168/8796093022208 
1537901120716802/549755813888 3248555766579199/549755813888 6130000042393595/2199023255552 12974058530406396/2199023255552 
2207687219609602/549755813888 2702832775987201/549755813888 2198844997631999/549755813888 2697859170303999/549755813888 
14300170787225592/2199023255552 8172638253875211/2199023255552 7128770779545599/1099511627776 4046311758233599/1099511627776 
1639242111385601/274877906944 1165134764441601/274877906944 1636520217804801/274877906944 1169023303680000/274877906944 
-1484674773811201/8796093022208 43578768228352000/8796093022208 -3056854053683199/17592186044416 87479390568448032/17592186044416 
2918019445555209/2199023255552 8374739114393595/2199023255552 5948858957824009/4398046511104 16817023300403206/4398046511104 
5217649164287997/1099511627776 4948120672665599/1099511627776 2604375683891202/549755813888 2467139734732801/549755813888 
-4175192234393602/549755813888 3990538420224001/549755813888 -8293421626163197/1099511627776 7985520286105599/1099511627776 
8994052426956804/1099511627776 1794386375475197/1099511627776 35876079927295988/4398046511104 7196891309670379/4398046511104 
-15032199308902394/2199023255552 -5589865123020805/2199023255552 -15032890530201598/2199023255552 -5647126600089599/2199023255552 
-5166760932147201/549755813888 3226124419072000/549755813888 -10300654459289602/1099511627776 6451555100262405/1099511627776 
-37683986012569616/4398046511104 7041827051929589/4398046511104 -37571800124620816/4398046511104 6988954075136013/4398046511104 
-7058210842214395/1099511627776 5028438658252796/1099511627776 -7055517260185600/1099511627776 5038386708479997/1099511627776 
4611110023987202/274877906944 -1269802991615999/274877906944 18421351291289620/1099511627776 -5074404455219195/1099511627776 
8235919396044799/4398046511104 17641049686015988/4398046511104 8196789895167987/4398046511104 17554969146163182/4398046511104 
-8077225387622401/1099511627776 7104908545228803/1099511627776 -8142086104678395/1099511627776 7122990189772804/1099511627776 
3944692580352000/274877906944 1265212745318399/274877906944 15745881944883220/1099511627776 5123099905228795/1099511627776 
15816616365260792/2199023255552 8846644451737601/2199023255552 14700975/2048 8248125/2048 
-6019743534284805/35184372088832 152427100844851200/35184372088832 -1356715052236801/8796093022208 38154929176576016/8796093022208 
-2473900743065599/274877906944 2239190846668799/274877906944 -9938258205081604/1099511627776 8957469707468795/1099511627776 
7535586390835203/2199023255552 10177485366886392/2199023255552 7486079343001601/2199023255552 10161692134604796/2199023255552 
3938477041254405/2199023255552 13319605426585592/2199023255552 7975599079423987/4398046511104 26655363956736012/4398046511104 
47660725279129776/4398046511104 4830445279641593/4398046511104 47561524956364920/4398046511104 4760375656447999/4398046511104 
6395074183167997/1099511627776 7556034461695998/1099511627776 6444562356633605/1099511627776 7570118934527999/1099511627776 
-456425906110463680/70368744177664 6414453125939199/70368744177664 -454081122402304000/70368744177664 8486058459136023/70368744177664 
209347148146277856/17592186044416 -6090741776384007/17592186044416 209148693813657152/17592186044416 -5073760210124795/17592186044416 
-8794989920255999/1099511627776 7701921582284796/1099511627776 -8852049231871997/1099511627776 7715277923942400/1099511627776 
12820732392243254/1099511627776 2528909040025605/1099511627776 6407089605836779/549755813888 1260606770380800/549755813888 
16466555646771200/2199023255552 7209659609907205/2199023255552 2057835852595199/274877906944 895890017484801/274877906944 
-118382908355379216/17592186044416 6633093385420807/17592186044416 -58998898714214376/8796093022208 3060453395660799/8796093022208 
2657470749081589/2199023255552 12650087134003204/2199023255552 2632175530803205/2199023255552 12686088522956798/2199023255552 
3316876994150395/1099511627776 6569976659968005/1099511627776 3334852103372803/1099511627776 6577610293247997/1099511627776 
-6205718554214397/549755813888 1692519419084800/549755813888 -12409381899468854/1099511627776 3410215357644803/1099511627776 
4667648624558663/4398046511104 15965926251996278/4398046511104 1159741768422401/1099511627776 3965006285273821/1099511627776 
7090845043916793/549755813888 -4947802324992000/549755813888 7035869462527993/549755813888 -4947802324992000/549755813888 
2390924827033601/274877906944 1343751297433600/274877906944 4782127736422401/549755813888 2694313515417600/549755813888 
7956830009548194/2199023255552 2786500893721661/2199023255552 7939604667016433/2199023255552 2786500893721661/2199023255552 
-4842396529459202/549755813888 4241814139699201/549755813888 -4818622794956801/549755813888 4246104493260798/549755813888 
9201151220121590/549755813888 -2491083967692799/549755813888 4599838670847990/274877906944 -1241977454592001/274877906944 
12862548764262424/1099511627776 5490828378111995/1099511627776 12884928731545600/1099511627776 5482333654220795/1099511627776 
6083213839564781/4398046511104 16733150642176018/4398046511104 6163067935129609/4398046511104 16705270264627198/4398046511104 
-30738346095411220/4398046511104 5173219740876789/4398046511104 -30783584180633612/4398046511104 5175715351756781/4398046511104 
4832755921715207/274877906944 1918548888780801/274877906944 4848732025651190/274877906944 1916713461350401/274877906944 
-6516169611673597/17592186044416 96416861834444800/17592186044416 -3446258689638401/8796093022208 48184476408217600/8796093022208 
8089189220352002/1099511627776 4329846708633599/1099511627776 8062482409062403/1099511627776 4329846708633599/1099511627776 
3877851312947209/2199023255552 10754373294489598/2199023255552 1943487800934404/1099511627776 5377186647244799/1099511627776 
19577200810393604/2199023255552 5566307395174393/2199023255552 9728046399488004/1099511627776 2829573318246395/1099511627776 
7882477492396485/2199023255552 7302188514482211/2199023255552 7872762234285673/2199023255552 7313725383488798/2199023255552 
17829868863488046/17592186044416 -4739058945228805/17592186044416 18056173374668836/17592186044416 -4492617999974393/17592186044416 
18934002614272048/1099511627776 6693227121868801/1099511627776 18851354692812836/1099511627776 6670863512371197/1099511627776 
104317152185548720/8796093022208 3862490513408003/8796093022208 208506716998860736/17592186044416 7478792998092797/17592186044416 
4790393451315193/274877906944 -994281573580800/274877906944 9572471275520018/549755813888 -1983936410419201/549755813888 
-13077641061990444/1099511627776 8151844572364803/1099511627776 -13042640433971230/1099511627776 8154565836800005/1099511627776 
-4160352367411205/1099511627776 7302537438822398/1099511627776 -8294991973580797/2199023255552 14563210690559992/2199023255552 
3755400704819197/2199023255552 14921149238476808/2199023255552 3608533375385595/2199023255552 14804753947033594/2199023255552 
-5143743850086409/17592186044416 55727495944601624/17592186044416 -4841729215692795/17592186044416 55874591863603160/17592186044416 
6257187697459197/8796093022208 40591135290163240/8796093022208 3066642510643199/4398046511104 20455129035571208/4398046511104 
7345570997862395/1099511627776 4621653245952000/1099511627776 7295797192294397/1099511627776 4621653245952000/1099511627776 
2384048465867820/549755813888 963976071726179/549755813888 19056628342614956/4398046511104 7675036677044991/4398046511104 
5233467981824003/1099511627776 4968882477465595/1099511627776 5217649164287997/1099511627776 4948120672665599/1099511627776 
4946720194560001/1099511627776 4700017944166399/1099511627776 4956076847923195/1099511627776 4693000454143996/1099511627776 
-9316695067852796/1099511627776 8587959074815999/1099511627776 -9306242023423996/1099511627776 8595609485311999/1099511627776 
17592234698342398/4398046511104 6643576209407989/4398046511104 17632738253209590/4398046511104 6685578808524809/4398046511104 
8702825961881597/4398046511104 19381991191347196/4398046511104 4338160238591993/2199023255552 9693204316160000/2199023255552 
-19018333290495988/1099511627776 7367535729049601/1099511627776 -18980381550182364/1099511627776 7364351413452803/1099511627776 
-5904113283891199/1099511627776 5214277782732796/1099511627776 -2951785689907199/549755813888 2615379440435200/549755813888 
38264866917580872/2199023255552 -8664752586752001/2199023255552 19136443213414392/1099511627776 -4326042474905601/1099511627776 
-5832401171251203/1099511627776 5350750787993600/1099511627776 -5818645112422403/1099511627776 5345028918476795/1099511627776 
8814408708915199/1099511627776 4938881879244801/1099511627776 8825081534873599/1099511627776 4953821570662402/1099511627776 
10169835358828295229506230429434107453686992/1832333687104819212881756255936684490752 4388164154817216019689946155224598754037773/1832333687104819212881756255936684490752 12202050999583152/2199023255552 5269816854112171/2199023255552 
12268272651711300/2199023255552 5372509540765511/2199023255552 6132800102607971/1099511627776 2702240323500337/1099511627776 
60640072826880136/4398046511104 -3712952251187199/4398046511104 121513442908569552/8796093022208 -7017282404351997/8796093022208 
-12119465734963224/1099511627776 8230107768422399/1099511627776 -12167800894259156/1099511627776 8217524017561597/1099511627776 
-6696963407872002/1099511627776 8985334985523199/1099511627776 -6698087481344005/1099511627776 8995604319436803/1099511627776 
4250510609612799/549755813888 2955389435903999/549755813888 8541043267993605/1099511627776 5896225475788804/1099511627776 
2040751392586421/549755813888 2015753666320962/549755813888 8189115326518435/2199023255552 8063621868915780/2199023255552 
-7091226725580802/1099511627776 -4748182814720001/1099511627776 -7129632289587200/1099511627776 -4762398149836805/1099511627776 
-25071225667583896/2199023255552 6140660285440003/2199023255552 -25047094997811092/2199023255552 6172871281868803/2199023255552 
1169138437324804/1099511627776 6517568831487999/1099511627776 4647418016563199/4398046511104 26049412857856016/4398046511104 
-1129819386622770944/140737488355328 -5164050992332803/140737488355328 -2257414194934579200/281474976710656 -5851415629004803/281474976710656 
6868641303756791/549755813888 2105386257612800/549755813888 27517041770495924/2199023255552 8462261655961599/2199023255552 
-7226582787686401/1099511627776 6425625493504005/1099511627776 -7224508284927999/1099511627776 6428651264409603/1099511627776 
-2323194786611201/17592186044416 87379935231999968/17592186044416 -7369758710169621/70368744177664 349851231872614272/70368744177664 
5624684976537584/4398046511104 -5913915791769619/4398046511104 2870111895552000/2199023255552 -2891153460428799/2199023255552 
12310341647620056/2199023255552 5470327705898343/2199023255552 12314101611282420/2199023255552 5475161944892797/2199023255552 
-10479544880332804/1099511627776 7567461423513599/1099511627776 -10493807191654402/1099511627776 7561654829056001/1099511627776 
-12583172885708776/1099511627776 8067320958156797/1099511627776 -12532387414016020/1099511627776 8055154121113603/1099511627776 
-15500/1 -9000/1 -15600/1 -9000/1 
232573177010586272/17592186044416 -5112482863513605/17592186044416 232602946502656096/17592186044416 -4933532883353607/17592186044416 
-8462487309516798/1099511627776 7416939597004797/1099511627776 -8471063822335998/1099511627776 7440590438400001/1099511627776 
7432087745331217/549755813888 3016560004300801/549755813888 7427057935974403/549755813888 3009192709324801/549755813888 
6584952002969597/2199023255552 15529932331417594/2199023255552 3325484125388796/1099511627776 7758276250828799/1099511627776 
33557861262950428/2199023255552 -5509600824524797/2199023255552 33576755763609640/2199023255552 -5562700293734391/2199023255552 
3936605542809596/1099511627776 4960854999040005/1099511627776 7826395103232007/2199023255552 9917352116223994/2199023255552 
14820672169574394/1099511627776 -7147432915763197/1099511627776 7431916617728003/549755813888 -3605322216243198/549755813888 
19504995028172836/1099511627776 7061869114163197/1099511627776 19542542437580752/1099511627776 7048601691750403/1099511627776 
11869924779622394/2199023255552 8609915417395195/2199023255552 11848862662655996/2199023255552 8635190293299199/2199023255552 
5579747203481613/4398046511104 20002001597235220/4398046511104 5490260469350379/4398046511104 19975602647859180/4398046511104 
-6516767299993615/35184372088832 112617075821772688/35184372088832 -3626189717503983/35184372088832 112611143398195120/35184372088832 
54010545858150440/4398046511104 4366325828812801/4398046511104 108107856766566016/8796093022208 8839021723648009/8796093022208 
-21537670509363204/2199023255552 3560045123993593/2199023255552 -2700175055257599/274877906944 450230275276801/274877906944 
3094480525721599/2199023255552 8174632225996791/2199023255552 5812120033689617/4398046511104 16511087411199984/4398046511104 
21754722385920004/2199023255552 5883185384652791/2199023255552 21735341345996804/2199023255552 6046371492659207/2199023255552 
-19644477446553600/2199023255552 3139359578521591/2199023255552 -39358338747596800/4398046511104 6256693189017607/4398046511104 
-5888442944716801/1099511627776 5282418445516803/1099511627776 -5882300805939202/1099511627776 5262344087142401/1099511627776 
2263712425574399/1099511627776 4394257376870395/1099511627776 8939489565081585/4398046511104 17402182395494398/4398046511104 
10391837789388798/1099511627776 8366298497023999/1099511627776 10434145733836798/1099511627776 8378339504947203/1099511627776 
111370038778265904/8796093022208 -7514389217280003/8796093022208 55792108358860584/4398046511104 -3748581185945601/4398046511104 
69438004631961592/17592186044416 -8372456574156805/17592186044416 8671361132134403/2199023255552 -1061671246233601/2199023255552 
10631288532808898/2199023255552 6625940588004375/2199023255552 5314762748810737/1099511627776 3325311540314123/1099511627776 
3372214963404806/2199023255552 4842235887615995/2199023255552 3388974563328001/2199023255552 4713758064640009/2199023255552 
7660658019532805/1099511627776 4350483942604805/1099511627776 7654588022783997/1099511627776 4355340107776004/1099511627776 
-2642075556249607/2199023255552 2717271667507191/2199023255552 -5427708297216007/4398046511104 5450471204454414/4398046511104 
9671533186252802/1099511627776 5411426847948799/1099511627776 9683626203545602/1099511627776 5415079247872003/1099511627776 
12273952856473558/1099511627776 8420614733823995/1099511627776 6171604182630409/549755813888 4203890920652801/549755813888 
9100649837694866/2199023255552 7877335540377981/2199023255552 4537577431438964/1099511627776 3961221017142441/1099511627776 
4651734794239997/2199023255552 -4041470273126389/2199023255552 4652188617932797/2199023255552 -4161702933299204/2199023255552 
7919513685196792/2199023255552 1021567618252799/2199023255552 31691493290803232/8796093022208 4153433862963199/8796093022208 
-11806018686156760/8796093022208 8479796363263999/8796093022208 -5926978112716801/4398046511104 4368411236761600/4398046511104 
8083318707474531/2199023255552 6566537873521088/2199023255552 4013671785030246/1099511627776 3242014533536557/1099511627776 
72642130765414416/17592186044416 -3714823749631997/17592186044416 144674725140889600/35184372088832 -7252090866892805/35184372088832 
3789154366259200/1099511627776 7270718609817603/1099511627776 7641025321369603/2199023255552 14517469288857592/2199023255552 
1654249298521426/549755813888 2262975616038831/549755813888 6661612939881979/2199023255552 9064159537176276/2199023255552 
5422397469491200/1099511627776 5136629471641599/1099511627776 5429180078489598/1099511627776 5141716323532799/1099511627776 
-30246005270118412/4398046511104 -8060474176307215/4398046511104 -30306248897331184/4398046511104 -7932315539865613/4398046511104 
-7174767194931210/549755813888 3860494024703999/549755813888 -14297847142809566/1099511627776 7721087034982399/1099511627776 
-15656979477299206/2199023255552 -7174886313164795/2199023255552 -15666215334707200/2199023255552 -7152560032972797/2199023255552 
2353373013606400/1099511627776 6866687177523197/1099511627776 2335075991551999/1099511627776 6871317689139197/1099511627776 
8857158733004792/2199023255552 -759695356723201/2199023255552 35046973400678412/8796093022208 -3576227587686399/8796093022208 
24776318775015408/4398046511104 7840305545155987/4398046511104 24382918930622064/4398046511104 7755573270978979/4398046511104 
8822862748057595/2199023255552 14943979674009598/2199023255552 2255632518348799/549755813888 3720583367884802/549755813888 
-11247852453888038/1099511627776 7635643190476803/1099511627776 -2803598413004794/274877906944 1910381740032001/274877906944 
5393260059033595/140737488355328 600660410525286528/140737488355328 2141290967859199/562949953421312 2401871554464975360/562949953421312 
21115453413785584/4398046511104 4887830069248021/4398046511104 5299626416537603/1099511627776 1224097346355205/1099511627776 
-1800295520665599/274877906944 1732412283289600/274877906944 -7208330854399995/1099511627776 6931200606207995/1099511627776 
5262045452697603/2199023255552 -2866310388121599/2199023255552 5210948344217600/2199023255552 -2862419122585603/2199023255552 
27575495268761684/2199023255552 -7203183604531189/2199023255552 6874745693798402/549755813888 -1810626930278399/549755813888 
-8303531576524805/1099511627776 3984288068403195/1099511627776 -16562709227110400/2199023255552 7889083170815995/2199023255552 
29261397439283200/2199023255552 -918162191155199/2199023255552 233829159665664096/17592186044416 -6809187883417593/17592186044416 
9829030979174396/1099511627776 5452450915942397/1099511627776 9858854997196804/1099511627776 5459786753638399/1099511627776 
25947810037760084/2199023255552 -7739524356505605/2199023255552 25889854822809572/2199023255552 -7748049698815995/2199023255552 
1370258774425603/8796093022208 13399751865139182/8796093022208 4590902706176011/35184372088832 52922845390438528/35184372088832 
9912861061547482/4398046511104 6216081241962701/4398046511104 9924344623235308/4398046511104 6237772414039749/4398046511104 
19181431318118400/1099511627776 6787467260723199/1099511627776 4786460871884793/274877906944 1694153205350400/274877906944 
13845159267532758/1099511627776 8072039550156799/1099511627776 3482446934835213/274877906944 2017614154956799/274877906944 
2306304114688000/1099511627776 5036489205350395/1099511627776 4592605593600007/2199023255552 10076500787200000/2199023255552 
16103112494284790/2199023255552 8953474213478399/2199023255552 16083689511321608/2199023255552 8938906556825609/2199023255552 
6155255205068797/1099511627776 -9895604649984000/1099511627776 6045304042291197/1099511627776 -9895604649984000/1099511627776 
1209143708876800/274877906944 -639087358771199/274877906944 4822351531212801/1099511627776 -2532619740774396/1099511627776 
-7227823462809599/1099511627776 6795748075110395/1099511627776 -7318498443263999/1099511627776 6812633504153603/1099511627776 
10781507085926396/2199023255552 8428097372160001/2199023255552 6319187408577004697196308887271552877933171/1292356515076291303350650898879258558464 4960657602204379238095301514018871401024720/1292356515076291303350650898879258558464 
13194384480665586/1099511627776 8018676259225603/1099511627776 13228932123852786/1099511627776 8015274678681595/1099511627776 
-67420128333004768/8796093022208 7459780218060803/8796093022208 -33706098032640000/4398046511104 3771826018713599/4398046511104 
3694673054924795/2199023255552 12728700135014408/2199023255552 7328550512230413/4398046511104 25470045257728008/4398046511104 
12505394937035556/2199023255552 5897807055600227/2199023255552 6227041556889603/1099511627776 2982264648499204/1099511627776 
5549841396531205/1099511627776 5134978593587199/1099511627776 5514249371647995/1099511627776 5121137390387202/1099511627776 
-7315455056281607/549755813888 3058728697856000/549755813888 -914399481036803/68719476736 383784766668800/68719476736 
6835974386483207/4398046511104 20072482681651216/4398046511104 426241530265599/274877906944 1254194518425600/274877906944 
5151963427635203/8796093022208 46414124443238432/8796093022208 1271045659033601/2199023255552 11605764158259210/2199023255552 
17487174094028800/1099511627776 6795085375078405/1099511627776 4351922588876800/274877906944 1696998516326399/274877906944 
-3697090232319995/2199023255552 4690762792959997/2199023255552 -3689958237798405/2199023255552 4752582220185596/2199023255552 
5608121670041599/2199023255552 1615811890380801/2199023255552 5652216387993603/2199023255552 1581132336332801/2199023255552 
-4464548459315201/549755813888 -250143624396800/549755813888 -142672545605222384/17592186044416 -7590575393996801/17592186044416 
-3104926020403213/274877906944 2138809827328000/274877906944 -12403155035750396/1099511627776 8569613189120003/1099511627776 
14964897506918392/2199023255552 8583805036134405/2199023255552 15008449481932810/2199023255552 8580693701427205/2199023255552 
16845039573401642/1099511627776 -3412722922291199/1099511627776 33683653473075212/2199023255552 -6905197599129605/2199023255552 
-7324639743180801/1099511627776 6421661037363204/1099511627776 -7303058371379197/1099511627776 6440598739353600/1099511627776 
-12624199889715244/1099511627776 7509053223731197/1099511627776 -12666206683135948/1099511627776 7502397702144001/1099511627776 
-4777242630553599/549755813888 3494339044966400/549755813888 -4774584700108801/549755813888 3505735807795199/549755813888 
-24228489330687940/2199023255552 5988240536371195/2199023255552 -12130014409523172/1099511627776 3008769084620799/1099511627776 
-8581527529062421/4398046511104 35340161961164796/4398046511104 -8726201656934417/4398046511104 35297239131750420/4398046511104 
17632738253209590/4398046511104 6685578808524809/4398046511104 17618511174041590/4398046511104 6780560080895989/4398046511104 
-127538906215219280/17592186044416 -4402752100761599/17592186044416 -127992709775360080/17592186044416 -4282454009446393/17592186044416 
