12834
8849800/20833 8347800/20833 26545600/62501 26206600/62501 
10265600/62501 33641600/62501 11484400/62499 33645400/62499 
175900/62499 31148798/62499 -400/1 500/1 
-50000/125 62538/125 -50000/125 62548/125 
2681100/62501 29861202/62501 2706100/62501 29861302/62501 
21644798/62499 1213900/62499 21644698/62499 1238900/62499 
43995704/62501 -28875482/62501 704/1 -462/1 
5189900/62499 27628798/62499 5186100/62501 28621202/62501 
33885600/62501 8764600/62501 10954800/20833 2922800/20833 
31489400/62499 34975400/62499 31485600/62501 33774600/62501 
100/1 298/1 6424400/62499 18625400/62499 
-450/1 100/1 -450/1 98/1 
22684400/62499 21190400/62499 22680600/62501 20059600/62501 
21565600/62501 21186600/62501 21564400/62499 21313400/62499 
3925084/62501 31370202/62501 3950084/62501 31370302/62501 
25155600/62501 13799600/62501 8384800/20833 4566800/20833 
8336232/20833 -9658500/20833 50018/125 -58000/125 
1308306/20833 18792966/20833 3899918/62499 62628898/62499 
22809400/62499 22558400/62499 22805600/62501 23691600/62501 
3854800/20833 7117800/20833 11560600/62501 22396600/62501 
56486004/62501 -27650502/62501 56491004/62501 -27650482/62501 
24079400/62499 17553400/62499 23920600/62501 17554600/62501 
-29975504/62499 31253596/62499 -29950504/62499 31253696/62499 
-2398/5 2520/5 -480/1 504/1 
50230804/62501 -26375502/62501 50228900/62499 -26300498/62499 
23905600/62501 13804600/62501 7614800/20833 4602800/20833 
-10900/25 7506/25 -436/1 304/1 
29120600/62501 7466600/62501 29119400/62499 7533400/62499 
20160600/62501 15069600/62501 6719800/20833 4976800/20833 
6549400/62499 25123400/62499 6450600/62501 25124600/62501 
300/1 -434/1 37503/125 -54250/125 
15100202/62501 -9900/62501 240/1 -400/1 
584/1 -410/1 584/1 -400/1 
214900/62499 33898598/62499 211100/62501 34851402/62501 
306/1 100/1 302/1 100/1 
36639698/62499 2428900/62499 36639598/62499 2453900/62499 
32645600/62501 11269600/62501 32644400/62499 11230400/62499 
25115302/62501 1225060/62501 25115202/62501 1200060/62501 
26589400/62499 15043400/62499 26410600/62501 15044600/62501 
32769400/62499 32518400/62499 32730600/62501 32519600/62501 
226/1 100/1 14124400/62499 6343400/62499 
-436/1 500/1 -53750/125 62503/125 
2749900/62499 12638798/62499 2746100/62501 13611202/62501 
704/1 -422/1 14666300/20833 -8758526/20833 
1399918/62499 50139098/62499 199918/62499 50143898/62499 
160900/62499 34898798/62499 -400/1 560/1 
10876566/20833 1648300/20833 32620302/62501 4945100/62501 
30240600/62501 35029600/62501 10079800/20833 11656800/20833 
-3120610/6251 3122804/6251 -3118110/6251 3122704/6251 
1465900/62499 33643598/62499 480300/20833 11214566/20833 
10879800/20833 3326800/20833 32635600/62501 8769600/62501 
204/1 -474/1 300/1 -474/1 
27894698/62499 1213900/62499 27894598/62499 1238900/62499 
600/1 -420/1 504/1 -420/1 
24124400/62499 6303400/62499 24120600/62501 7446600/62501 
36424400/62499 18745400/62499 36575600/62501 18746600/62501 
1328300/20833 7544566/20833 3981100/62501 23616302/62501 
56498600/62501 -29549482/62501 62743600/62501 -29524502/62501 
-26225564/62499 18753796/62499 -52452/125 37500/125 
12533/125 -54250/125 200/1 -434/1 
14134798/62499 3743900/62499 13865202/62501 3745100/62501 
100/1 318/1 6429400/62499 19875400/62499 
11569400/62499 20103400/62499 11430600/62501 20104600/62501 
22899698/62499 -16100/62499 1832/5 0/5 
2749916/62499 18884698/62499 2724916/62499 18884798/62499 
24055600/62501 23696600/62501 24054400/62499 23803400/62499 
18826300/20833 -8775166/20833 50248900/62499 -26300578/62499 
12644798/62499 -80/62499 202/1 0/1 
-27450458/62501 43996004/62501 -28099458/62501 43998600/62501 
16575600/62501 18666600/62501 17674400/62499 18670400/62499 
36439400/62499 22495400/62499 36560600/62501 22496600/62501 
18924400/62499 18675400/62499 19075600/62501 18676600/62501 
25003796/62499 -27700540/62499 25008796/62499 -27700520/62499 
-59902/125 50000/125 -476/1 400/1 
12629798/62499 3749920/62499 202/1 80/1 
18875202/62501 4975080/62501 18870202/62501 3725080/62501 
37620302/62501 -74980/62501 37615302/62501 -74960/62501 
16709666/20833 808314/20833 50128898/62499 2449942/62499 
26634598/62499 3743900/62499 26365402/62501 3745100/62501 
43986004/62501 -26450482/62501 43985904/62501 -26425482/62501 
-28700498/62501 43991004/62501 -2298/5 3020/5 
6504400/62499 36373400/62499 104/1 600/1 
37503/125 -56750/125 300/1 -460/1 
-436/1 600/1 -27250456/62501 37505600/62501 
3996100/62501 32366502/62501 5171100/62501 32371202/62501 
20185600/62501 21319600/62501 20184400/62499 21180400/62499 
1632/5 0/5 1608/5 0/5 
-10900/25 5006/25 -436/1 204/1 
62743600/62501 -28274482/62501 62748600/62501 -28274462/62501 
32845600/62501 13731600/62501 32844400/62499 13768400/62499 
24054400/62499 23803400/62499 24050600/62501 24946600/62501 
37513/125 -59250/125 304/1 -474/1 
27685600/62501 21289600/62501 8854800/20833 7097800/20833 
25008796/62499 -28950500/62499 8336232/20833 -9658500/20833 
10074800/20833 10406800/20833 30275600/62501 31221600/62501 
100/1 502/1 5249900/62499 31378498/62499 
35180600/62501 20009600/62501 34069400/62499 20013400/62499 
62523/125 -54250/125 12504/25 -11000/25 
-470/1 -400/1 -470/1 -410/1 
24070600/62501 19946600/62501 25179400/62499 19950400/62499 
35285600/62501 28741600/62501 12154800/20833 9581800/20833 
3950064/62501 31375302/62501 3949916/62499 31379698/62499 
12850600/62501 12401600/62501 13899400/62499 12405400/62499 
5225084/62501 18875202/62501 5224916/62499 18874798/62499 
14019400/62499 32593400/62499 14015600/62501 33656600/62501 
244900/62499 32648498/62499 73300/20833 10882866/20833 
12865600/62501 8651600/62501 13884400/62499 8655400/62499 
7720600/62501 30119600/62501 7719400/62499 29880400/62499 
1459900/62499 28893698/62499 1456100/62501 29856302/62501 
13870202/62501 4995100/62501 13865202/62501 3745100/62501 
15295600/62501 26161600/62501 15294400/62499 26338400/62499 
21519400/62499 32563400/62499 21480600/62501 32564600/62501 
31258696/62499 -26450540/62499 10421232/20833 -8816840/20833 
31394798/62499 -75080/62499 31375202/62501 -75000/62501 
-490/1 404/1 -496/1 404/1 
-2623100/6251 2480304/6251 -2620600/6251 2480204/6251 
32645600/62501 11269600/62501 10534800/20833 3757800/20833 
2681100/62501 29861202/62501 893300/20833 10046266/20833 
1429900/62499 30143798/62499 229900/62499 30148598/62499 
10479800/20833 7491800/20833 31435600/62501 21274600/62501 
31365302/62501 2450080/62501 31360302/62501 2450100/62501 
17635600/62501 8829600/62501 17634400/62499 8670400/62499 
20269400/62499 32568400/62499 20265600/62501 33681600/62501 
9629800/20833 3321800/20833 29110600/62501 9966600/62501 
15245600/62501 36339600/62501 15244400/62499 36160400/62499 
702/1 -2/1 12548266/20833 -33360/20833 
6344800/20833 9607800/20833 18965600/62501 28824600/62501 
35364400/62499 8758400/62499 35360600/62501 9991600/62501 
1484900/62499 28893598/62499 1481100/62501 29856402/62501 
14090600/62501 14906600/62501 15159400/62499 14910400/62499 
11709866/20833 1653300/20833 35120402/62501 4960100/62501 
-430/1 204/1 -53750/125 25033/125 
-400/1 444/1 -400/1 456/1 
31494400/62499 36225400/62499 31505600/62501 36226600/62501 
14004400/62499 36343400/62499 224/1 600/1 
75000/125 -62952/125 75000/125 -62902/125 
600/1 -460/1 504/1 -460/1 
18950600/62501 25074600/62501 17799400/62499 25078400/62499 
11380600/62501 7604600/62501 11379400/62499 7395400/62499 
-27475544/62499 37503496/62499 -27450544/62499 37503596/62499 
-440/1 604/1 -56248/125 75500/125 
17879798/62499 4978900/62499 17620202/62501 4980100/62501 
31404400/62499 13725400/62499 31400600/62501 12524600/62501 
-58750/125 25003/125 -470/1 200/1 
-450/1 504/1 -56250/125 62523/125 
25344400/62499 13798400/62499 25340600/62501 14951600/62501 
36574400/62499 18753400/62499 36425600/62501 18754600/62501 
37508596/62499 -27700520/62499 12502832/20833 -9241840/20833 
25120202/62501 1200040/62501 10046/25 0/25 
32784400/62499 28768400/62499 32715600/62501 28769600/62501 
2675900/62499 31138798/62499 2675100/62501 31361202/62501 
20135600/62501 8819600/62501 19114400/62499 8823400/62499 
175044/62501 37615302/62501 200044/62501 37615402/62501 
-438/1 904/1 -27375458/62501 56495904/62501 
20305600/62501 23681600/62501 21444400/62499 23685400/62499 
17855600/62501 11171600/62501 17854400/62499 11328400/62499 
7659400/62499 14880400/62499 7840600/62501 14881600/62501 
-62402/125 62500/125 -3120610/6251 3122804/6251 
37625202/62501 1150020/62501 37620202/62501 1150040/62501 
2689900/62499 33888698/62499 888300/20833 11296266/20833 
36585600/62501 16246600/62501 12194800/20833 5417800/20833 
1308/5 0/5 1232/5 0/5 
10004/25 -11500/25 10002/25 -11500/25 
7865600/62501 8631600/62501 8884400/62499 8635400/62499 
50000/125 -57902/125 25003796/62499 -28950520/62499 
5929800/20833 9192800/20833 17785600/62501 28671600/62501 
5900/249 143998/249 493300/20833 12131166/20833 
12784400/62499 28848400/62499 12715600/62501 28849600/62501 
8895600/62501 11364600/62501 2964800/20833 3711800/20833 
18995600/62501 36324600/62501 18994400/62499 36175400/62499 
30210600/62501 27529600/62501 10069800/20833 9156800/20833 
3975064/62501 18875202/62501 64/1 302/1 
21629698/62499 4988900/62499 21625600/62501 6186600/62501 
22715600/62501 28809600/62501 22714400/62499 28690400/62499 
5200900/62499 31128698/62499 1725300/20833 10376266/20833 
19115600/62501 8676600/62501 20134400/62499 8680400/62499 
9694800/20833 5427800/20833 29080600/62501 17466600/62501 
-50000/125 37508/125 225084/62501 18855202/62501 
21559400/62499 22563400/62499 21440600/62501 22564600/62501 
12211566/20833 1226300/20833 36634598/62499 3703900/62499 
3926100/62501 31116202/62501 47300/753 375106/753 
368/1 -400/1 7633266/20833 -13700/20833 
26355202/62501 1195100/62501 2108/5 0/5 
2569800/20833 9126800/20833 7705600/62501 26369600/62501 
5474800/20833 6221800/20833 16420600/62501 17584600/62501 
50248900/62499 -31300498/62499 50248600/62501 -30824502/62501 
32620202/62501 4920100/62501 32615502/62501 3745100/62501 
13909400/62499 14905400/62499 13905600/62501 13844600/62501 
2674916/62499 37634698/62499 2649916/62499 37634798/62499 
3975100/62501 25116302/62501 3975084/62501 25120302/62501 
10959866/20833 1656300/20833 32629598/62499 4969900/62499 
-27375478/62501 56490904/62501 -27375498/62501 56485904/62501 
33879598/62499 4964900/62499 11293166/20833 1663300/20833 
35190600/62501 22509600/62501 34059400/62499 22513400/62499 
11319800/20833 9161800/20833 33955600/62501 26264600/62501 
-52500/125 37518/125 -52500/125 37508/125 
62523/125 -56750/125 504/1 -454/1 
25299400/62499 25048400/62499 25295600/62501 26201600/62501 
-27250456/62501 37505600/62501 -27250476/62501 37510600/62501 
5225084/62501 31375402/62501 5224916/62499 31374598/62499 
8839800/20833 10847800/20833 26480600/62501 32544600/62501 
33949400/62499 24985400/62499 34050600/62501 24986600/62501 
62628898/62499 1149962/62499 1002/1 38/1 
21384400/62499 8685400/62499 21615600/62501 8686600/62501 
10204400/62499 26140400/62499 10295600/62501 26141600/62501 
22615202/62501 3710100/62501 22610302/62501 2485100/62501 
37615402/62501 -49960/62501 37610402/62501 -49940/62501 
30120202/62501 4930100/62501 30115402/62501 3730100/62501 
12159800/20833 10831800/20833 36520600/62501 32496600/62501 
50028/125 -55500/125 404/1 -444/1 
29105600/62501 11216600/62501 29104400/62499 11283400/62499 
7730600/62501 32619600/62501 7729400/62499 32380400/62499 
27834400/62499 16288400/62499 27830600/62501 17461600/62501 
16505600/62501 36166600/62501 5914800/20833 12056800/20833 
50245804/62501 -30125502/62501 804/1 -482/1 
43995804/62501 -28900482/62501 50240804/62501 -28875502/62501 
808/5 0/5 160/1 -400/1 
-436/1 504/1 -2194/5 2520/5 
3996100/62501 19866302/62501 3994900/62499 20133698/62499 
9214800/20833 3736800/20833 27855600/62501 11211600/62501 
-480/1 504/1 -60000/125 62508/125 
308/1 -400/1 6383266/20833 -8700/20833 
602/1 20/1 37625502/62501 1225020/62501 
11445600/62501 23854600/62501 3814800/20833 7881800/20833 
4694800/20833 5447800/20833 14080600/62501 17406600/62501 
6475600/62501 31374600/62501 100/1 502/1 
35149798/62499 -90100/62499 35100202/62501 -89900/62501 
17679400/62499 19920400/62499 17820600/62501 19921600/62501 
5879800/20833 3306800/20833 17860600/62501 9921600/62501 
-430/1 100/1 -2150/5 486/5 
1475064/62501 18865202/62501 2725064/62501 18870202/62501 
31610600/62501 9976600/62501 31609400/62499 10023400/62499 
1466100/62501 21106202/62501 1491100/62501 21106302/62501 
12889798/62499 2498900/62499 12634798/62499 2499920/62499 
2674918/62499 50133998/62499 883306/20833 16711366/20833 
-27450544/62499 37503596/62499 -54902/125 75000/125 
27884698/62499 3713900/62499 9294866/20833 1246300/20833 
502/1 40/1 31375402/62501 2475040/62501 
3949918/62499 50128898/62499 1308306/20833 18792966/20833 
25194400/62499 23700400/62499 25190600/62501 22549600/62501 
2520/5 -2114/5 75000/125 -52802/125 
50243600/62501 -29574502/62501 50241004/62501 -28925502/62501 
26604400/62499 11293400/62499 26600600/62501 12456600/62501 
24144698/62499 1228900/62499 23855302/62501 1230100/62501 
1318300/20833 10044566/20833 3929900/62499 30133798/62499 
3991100/62501 14866202/62501 3989900/62499 15133798/62499 
14045600/62501 26156600/62501 15204400/62499 26160400/62499 
23929400/62499 19945400/62499 23925600/62501 18804600/62501 
22744400/62499 36190400/62499 22755600/62501 36191600/62501 
5504800/20833 11277800/20833 16485600/62501 33834600/62501 
37620202/62501 -99980/62501 37515600/62501 -26250480/62501 
2731100/62501 17361202/62501 2729900/62499 17638798/62499 
21609400/62499 10063400/62499 21605600/62501 11186600/62501 
31385600/62501 8774600/62501 30364400/62499 8778400/62499 
3905900/62499 36133798/62499 3904900/62499 36383798/62499 
2650044/62501 37625202/62501 2649916/62499 37634798/62499 
12139800/20833 5831800/20833 36415600/62501 16254600/62501 
2726100/62501 31111402/62501 3926100/62501 31116202/62501 
31649798/62499 -76100/62499 31399798/62499 -75100/62499 
20105302/62501 1245100/62501 20105202/62501 1220100/62501 
5094800/20833 9612800/20833 15215600/62501 28839600/62501 
21490600/62501 35064600/62501 21489400/62499 34935400/62499 
13915600/62501 16344600/62501 13914400/62499 16155400/62499 
36644698/62499 1178900/62499 12214866/20833 401300/20833 
-61250/125 25003/125 -60000/125 25008/125 
32899498/62499 -6100/62499 10883166/20833 -1700/20833 
-8725168/20833 10422932/20833 -26175524/62499 31263796/62499 
2714900/62499 33888598/62499 2711100/62501 34861402/62501 
-51250/125 50497/125 -416/1 404/1 
62508/125 -60500/125 504/1 -484/1 
126/1 100/1 2624800/20833 2122800/20833 
300/83 41366/83 225100/62501 31351402/62501 
56495904/62501 -26375442/62501 904/1 -422/1 
37639798/62499 1149920/62499 37625202/62501 1150020/62501 
-57352/125 75000/125 -2296/5 2520/5 
25003796/62499 -28950520/62499 25008796/62499 -28950500/62499 
16711366/20833 799974/20833 50129098/62499 2399942/62499 
3999916/62499 37629398/62499 3974918/62499 43878898/62499 
21544400/62499 26313400/62499 21455600/62501 26314600/62501 
9293266/20833 1646300/20833 27879698/62499 4963900/62499 
8399800/20833 8316800/20833 25195600/62501 23799600/62501 
1100/1 -482/1 20916300/20833 -10033506/20833 
16459400/62499 27415400/62499 16540600/62501 27416600/62501 
30285600/62501 28721600/62501 31464400/62499 28725400/62499 
5180900/62499 36128698/62499 5179900/62499 36378698/62499 
19014400/62499 33823400/62499 19010600/62501 34926600/62501 
25175600/62501 18799600/62501 8024800/20833 6267800/20833 
16479400/62499 32415400/62499 16475600/62501 31334600/62501 
2731100/62501 29861402/62501 3931100/62501 29866202/62501 
20115302/62501 3745100/62501 20115202/62501 3720100/62501 
9080600/62501 17386600/62501 9079400/62499 17613400/62499 
8955600/62501 26364600/62501 2984800/20833 8711800/20833 
244900/62499 20148698/62499 73300/20833 6716266/20833 
30320600/62501 19971600/62501 31429400/62499 19975400/62499 
-490/1 600/1 -486/1 600/1 
-488/1 1100/1 -30524498/62501 62748600/62501 
-11400/25 5002/25 -56250/125 25013/125 
6424400/62499 18625400/62499 6420600/62501 17624600/62501 
-410/1 536/1 -400/1 536/1 
29060600/62501 22466600/62501 30189400/62499 22470400/62499 
25320600/62501 19951600/62501 8809800/20833 6651800/20833 
35100502/62501 -14900/62501 11383166/20833 -3700/20833 
16570600/62501 19916600/62501 17679400/62499 19920400/62499 
34095600/62501 13736600/62501 35154400/62499 13740400/62499 
2729900/62499 23888698/62499 2726100/62501 24861302/62501 
-438/1 1100/1 -448/1 1100/1 
8864800/20833 4597800/20833 26405600/62501 13794600/62501 
6410600/62501 15124600/62501 6409400/62499 14875400/62499 
8461566/20833 1241300/20833 25384598/62499 3748900/62499 
-2350/5 494/5 -470/1 -400/1 
30240600/62501 35029600/62501 9669800/20833 11677800/20833 
19035600/62501 28676600/62501 20214400/62499 28680400/62499 
56488900/62499 -27575518/62499 56488600/62501 -27049482/62501 
10064800/20833 7906800/20833 30305600/62501 23721600/62501 
2725100/62501 18861202/62501 2725084/62501 18865202/62501 
25003796/62499 -27700540/62499 25003696/62499 -27725540/62499 
43995704/62501 -26375442/62501 704/1 -422/1 
10280600/62501 29891600/62501 10279400/62499 30108400/62499 
32679400/62499 19980400/62499 32820600/62501 19981600/62501 
2746100/62501 13611202/62501 3996100/62501 13616202/62501 
11784800/20833 3752800/20833 35145600/62501 11259600/62501 
-27450524/62499 37508596/62499 -330428/753 451912/753 
56483600/62501 -27049502/62501 56481004/62501 -26400502/62501 
17734400/62499 33670400/62499 17765600/62501 33671600/62501 
8920600/62501 17614600/62501 8919400/62499 17385400/62499 
10360600/62501 9891600/62501 11389400/62499 9895400/62499 
3950064/62501 25125202/62501 3949916/62499 25129798/62499 
-30574498/62501 50248600/62501 -30599498/62501 43998600/62501 
-490/1 204/1 -61250/125 25003/125 
7810600/62501 22381600/62501 2979800/20833 7461800/20833 
33900600/62501 12514600/62501 11299800/20833 4161800/20833 
27799400/62499 25038400/62499 27700600/62501 25039600/62501 
600/1 180/1 36604400/62499 11253400/62499 
31365202/62501 2425080/62501 31360202/62501 2425100/62501 
-456/1 104/1 -11400/25 4956/25 
1441100/62501 33606302/62501 480300/20833 11214566/20833 
37620302/62501 2425060/62501 37620202/62501 2400060/62501 
16420600/62501 17584600/62501 5109800/20833 5862800/20833 
-468/1 90/1 -11749/25 -10000/25 
600/1 340/1 36564400/62499 21253400/62499 
31394498/62499 -80/62499 12558/25 0/25 
27810600/62501 22461600/62501 9269800/20833 7512800/20833 
26415600/62501 16294600/62501 8444800/20833 5432800/20833 
2749900/62499 31388498/62499 908300/20833 10462866/20833 
34065600/62501 21236600/62501 35184400/62499 21240400/62499 
10417932/20833 -9641840/20833 376612/753 -348500/753 
36555600/62501 23746600/62501 12184800/20833 7917800/20833 
-54952/125 50000/125 -54902/125 50000/125 
300/1 -444/1 300/1 -454/1 
31360302/62501 1200080/62501 31355302/62501 1200100/62501 
26385600/62501 8794600/62501 8454800/20833 2932800/20833 
913300/20833 9212866/20833 2714900/62499 27638698/62499 
24134698/62499 3728900/62499 8043266/20833 1651300/20833 
35115202/62501 3660100/62501 11378266/20833 1221300/20833 
3975100/62501 31366402/62501 5175100/62501 31371202/62501 
10269400/62499 32608400/62499 10230600/62501 32609600/62501 
1424938/62499 56383898/62499 466646/20833 18794666/20833 
6329800/20833 11641800/20833 19010600/62501 34926600/62501 
-456/1 200/1 -11400/25 5002/25 
25129798/62499 3699920/62499 8376566/20833 1241640/20833 
249916/62499 37644398/62499 224978/62499 43878898/62499 
17854400/62499 11328400/62499 17645600/62501 11329600/62501 
34080600/62501 17486600/62501 35169400/62499 17490400/62499 
34040600/62501 27486600/62501 34039400/62499 27513400/62499 
-2618110/6251 3102704/6251 -2096/5 2020/5 
4/1 302/1 249916/62499 18894698/62499 
29094400/62499 13783400/62499 28905600/62501 13784600/62501 
21534400/62499 28813400/62499 21465600/62501 28814600/62501 
224938/62499 43888898/62499 66646/20833 14629666/20833 
50000/125 -52902/125 50000/125 -52952/125 
-26200478/62501 43986004/62501 -26200498/62501 43981004/62501 
1491100/62501 21106302/62501 2716100/62501 21111202/62501 
6354800/20833 7107800/20833 18935600/62501 21324600/62501 
23919400/62499 17445400/62499 24080600/62501 17446600/62501 
62741004/62501 -26375462/62501 62746004/62501 -26375442/62501 
27720600/62501 30039600/62501 9239800/20833 9986800/20833 
-26000496/62501 37520600/62501 150004/62501 37625202/62501 
2020/5 -2416/5 62500/125 -60352/125 
12774400/62499 31348400/62499 12725600/62501 31349600/62501 
3384800/20833 4546800/20833 10345600/62501 13641600/62501 
18875202/62501 2475040/62501 18870202/62501 1225040/62501 
24005600/62501 36196600/62501 8414800/20833 12066800/20833 
12504532/20833 -8816840/20833 3020/5 -2116/5 
62538/125 -53000/125 62533/125 -54250/125 
7506/25 -11000/25 18763796/62499 -27725500/62499 
-450/1 300/1 -450/1 298/1 
-476/1 -400/1 -12249/25 -10000/25 
17610202/62501 2480100/62501 16639798/62499 2483900/62499 
-26774498/62501 62733600/62501 -26799438/62501 56498600/62501 
170900/62499 32398798/62499 169900/62499 32648798/62499 
11510600/62501 34896600/62501 11509400/62499 35103400/62499 
10150600/62501 12609600/62501 9099400/62499 12613400/62499 
1475084/62501 31360402/62501 1475064/62501 31365402/62501 
34139798/62499 2413900/62499 33889798/62499 2414900/62499 
20265600/62501 33681600/62501 21484400/62499 33685400/62499 
18979400/62499 32425400/62499 19020600/62501 32426600/62501 
6450600/62501 25124600/62501 2149800/20833 8291800/20833 
10417932/20833 -8808520/20833 31253696/62499 -26450560/62499 
9629800/20833 3321800/20833 28885600/62501 8784600/62501 
50003/125 -61750/125 404/1 -494/1 
910300/20833 12046166/20833 2705900/62499 36138598/62499 
3899918/62499 56378998/62499 2674918/62499 56383898/62499 
31370402/62501 2475060/62501 31370302/62501 2450060/62501 
25008/125 -58000/125 25003/125 -59250/125 
2719900/62499 26388698/62499 2716100/62501 27361302/62501 
174916/62499 37644698/62499 149978/62499 43879198/62499 
22875600/62501 6191600/62501 23874400/62499 6195400/62499 
209900/62499 28898698/62499 206100/62501 29851302/62501 
2721100/62501 19861202/62501 2746100/62501 19861302/62501 
16609400/62499 10083400/62499 16390600/62501 10084600/62501 
